__time,/posePub_merged/header/seq,/posePub_merged/header/stamp,/posePub_merged/pose/orientation/pitch_deg,/posePub_merged/pose/orientation/roll_deg,/posePub_merged/pose/orientation/w,/posePub_merged/pose/orientation/x,/posePub_merged/pose/orientation/y,/posePub_merged/pose/orientation/yaw_deg,/posePub_merged/pose/orientation/z,/posePub_merged/pose/position/x,/posePub_merged/pose/position/y,/posePub_merged/pose/position/z
1617333602.648021,13763.000000000,1617333602.647615671,1.409850443,-175.000842499,0.043529931,-0.998952091,-0.005782767,0.724892145,0.012566812,0.001554195,-0.000975243,0.000000000
1617333602.656032,13764.000000000,1617333602.655613899,1.412338378,-175.000939327,0.043528922,-0.998951852,-0.005783124,0.725040648,0.012588552,0.001552278,-0.000974907,0.000000000
1617333602.664236,13765.000000000,1617333602.663620710,1.413198382,-174.996843092,0.043564383,-0.998950064,-0.005797740,0.726806592,0.012596927,0.001546895,-0.000990003,0.000000000
1617333602.672145,13766.000000000,1617333602.671618938,1.412374908,-174.994739668,0.043582894,-0.998949349,-0.005787693,0.725644630,0.012589412,0.001541969,-0.000997779,0.000000000
1617333602.680006,13767.000000000,1617333602.679613829,1.416850142,-174.994121001,0.043587860,-0.998948574,-0.005798533,0.727091838,0.012629006,0.001552263,-0.000999915,0.000000000
1617333602.687952,13768.000000000,1617333602.687613249,1.413913029,-174.990763320,0.043617111,-0.998947561,-0.005814963,0.728890266,0.012604257,0.001543999,-0.001012357,0.000000000
1617333602.696070,13769.000000000,1617333602.695619345,1.414004874,-174.989367451,0.043629304,-0.998946965,-0.005812156,0.728589900,0.012605013,0.001543599,-0.001017484,0.000000000
1617333602.704027,13770.000000000,1617333602.703613281,1.410994512,-174.983732794,0.043678626,-0.998945177,-0.005811055,0.728402602,0.012578986,0.001535508,-0.001038268,0.000000000
1617333602.712507,13771.000000000,1617333602.711612701,1.410380052,-174.981073140,0.043701753,-0.998944163,-0.005818532,0.729266903,0.012574093,0.001538899,-0.001047986,0.000000000
1617333602.719927,13772.000000000,1617333602.719614983,1.409866455,-174.981612935,0.043697096,-0.998944461,-0.005817455,0.729113987,0.012569531,0.001541454,-0.001045969,0.000000000
1617333602.728018,13773.000000000,1617333602.727616549,1.408771839,-174.982158358,0.043692406,-0.998944759,-0.005817953,0.729116195,0.012559962,0.001540030,-0.001043982,0.000000000
1617333602.736300,13774.000000000,1617333602.735623360,1.405897462,-174.978719815,0.043722566,-0.998943806,-0.005817924,0.729029772,0.012535047,0.001527921,-0.001056766,0.000000000
1617333602.744043,13775.000000000,1617333602.743614435,1.405699955,-174.976782920,0.043739561,-0.998943210,-0.005810238,0.728163746,0.012533094,0.001531362,-0.001063831,0.000000000
1617333602.752200,13776.000000000,1617333602.751616001,1.412115717,-174.979441167,0.043716073,-0.998943448,-0.005801980,0.727464957,0.012588619,0.001547942,-0.001053860,0.000000000
1617333602.760039,13777.000000000,1617333602.759613991,1.414664212,-174.977705190,0.043731179,-0.998942614,-0.005790979,0.726336736,0.012610493,0.001552106,-0.001060183,0.000000000
1617333602.768061,13778.000000000,1617333602.767614365,1.418308735,-174.976427936,0.043742020,-0.998941720,-0.005795421,0.727022613,0.012642590,0.001557129,-0.001064805,0.000000000
1617333602.776088,13779.000000000,1617333602.775621176,1.420158525,-174.975662173,0.043748464,-0.998941183,-0.005804090,0.728108075,0.012659169,0.001556917,-0.001067615,0.000000000
1617333602.784237,13780.000000000,1617333602.783615351,1.424346416,-174.979005258,0.043719247,-0.998942077,-0.005788825,0.726498541,0.012694892,0.001566692,-0.001055202,0.000000000
1617333602.792413,13781.000000000,1617333602.791616678,1.425221397,-174.979980848,0.043710791,-0.998942375,-0.005780580,0.725578832,0.012702120,0.001560029,-0.001051701,0.000000000
