__time,/camera/pose/header/seq,/camera/pose/header/stamp,/camera/pose/pose/orientation/pitch_deg,/camera/pose/pose/orientation/roll_deg,/camera/pose/pose/orientation/w,/camera/pose/pose/orientation/x,/camera/pose/pose/orientation/y,/camera/pose/pose/orientation/yaw_deg,/camera/pose/pose/orientation/z,/camera/pose/pose/position/x,/camera/pose/pose/position/y,/camera/pose/pose/position/z
1617333602.571708,20170.000000000,1617333602.571240664,0.097310066,-1.516755213,0.999911368,-0.013234743,0.000865372,-0.140746484,-0.001216897,0.001861747,-0.000186478,-0.000990495
1617333602.576665,20171.000000000,1617333602.576253891,0.096845801,-1.514407425,0.999911606,-0.013214255,0.000861393,-0.141588686,-0.001224317,0.001813411,-0.000170953,-0.001101510
1617333602.581601,20172.000000000,1617333602.581228733,0.096548721,-1.515356426,0.999911487,-0.013222531,0.000858925,-0.142576854,-0.001232967,0.001815837,-0.000166663,-0.001083219
1617333602.586759,20173.000000000,1617333602.586245060,0.097605781,-1.515687153,0.999911368,-0.013225407,0.000868112,-0.142228740,-0.001229805,0.001814485,-0.000160690,-0.001068703
1617333602.591814,20174.000000000,1617333602.591222763,0.097432216,-1.515703227,0.999911427,-0.013225554,0.000866547,-0.141788612,-0.001225984,0.001812110,-0.000154270,-0.001052825
1617333602.596898,20175.000000000,1617333602.596483946,0.098221168,-1.514891919,0.999911547,-0.013218464,0.000873449,-0.142012785,-0.001227855,0.001809551,-0.000147472,-0.001037677
1617333602.602088,20176.000000000,1617333602.601369381,0.098876951,-1.516494597,0.999911368,-0.013232443,0.000879167,-0.141826679,-0.001226143,0.001807314,-0.000140111,-0.001019667
1617333602.606601,20177.000000000,1617333602.606224537,0.098772939,-1.515327488,0.999911487,-0.013222281,0.000877932,-0.139097356,-0.001202349,0.001827966,-0.000174846,-0.001126336
1617333602.611743,20178.000000000,1617333602.611238241,0.097989755,-1.516009954,0.999911427,-0.013228244,0.000871111,-0.139151549,-0.001202907,0.001830859,-0.000170531,-0.001127224
1617333602.616762,20179.000000000,1617333602.616285563,0.099481538,-1.515961680,0.999911427,-0.013227819,0.000883952,-0.137633557,-0.001189489,0.001839510,-0.000165434,-0.001118220
1617333602.621638,20180.000000000,1617333602.621232986,0.098243541,-1.515575855,0.999911547,-0.013224468,0.000873118,-0.137392563,-0.001187532,0.001844122,-0.000160050,-0.001113185
1617333602.626747,20181.000000000,1617333602.626370192,0.100432721,-1.515039043,0.999911547,-0.013219750,0.000892369,-0.138726328,-0.001198922,0.001850136,-0.000154198,-0.001106460
1617333602.632026,20182.000000000,1617333602.631366014,0.100495322,-1.515993292,0.999911427,-0.013228071,0.000892993,-0.139315296,-0.001204046,0.001854116,-0.000146120,-0.001097312
1617333602.636787,20183.000000000,1617333602.636250496,0.101191508,-1.516900918,0.999911308,-0.013235981,0.000899115,-0.139644130,-0.001206828,0.001859773,-0.000137820,-0.001088167
1617333602.641709,20184.000000000,1617333602.641243219,0.101384675,-1.518575930,0.999911070,-0.013250572,0.000901152,-0.142526259,-0.001231942,0.001815229,-0.000173599,-0.001118287
1617333602.646717,20185.000000000,1617333602.646229506,0.102966789,-1.517656731,0.999911189,-0.013242537,0.000914899,-0.142106131,-0.001228100,0.001826626,-0.000170051,-0.001118401
1617333602.652054,20186.000000000,1617333602.651377201,0.104886229,-1.517183814,0.999911249,-0.013238387,0.000931681,-0.142438004,-0.001230778,0.001829409,-0.000164422,-0.001116229
1617333602.656857,20187.000000000,1617333602.656260729,0.106502025,-1.516694785,0.999911308,-0.013234112,0.000945634,-0.141214879,-0.001219923,0.001833753,-0.000158363,-0.001113455
1617333602.662335,20188.000000000,1617333602.661605597,0.108415505,-1.517543301,0.999911189,-0.013241507,0.000962178,-0.139819929,-0.001207522,0.001835602,-0.000153311,-0.001099955
1617333602.667034,20189.000000000,1617333602.666383266,0.112052968,-1.516563523,0.999911249,-0.013232913,0.000993981,-0.140450502,-0.001212613,0.001838908,-0.000147648,-0.001089999
1617333602.671921,20190.000000000,1617333602.671244621,0.114346706,-1.517354305,0.999911129,-0.013239784,0.001014058,-0.140916795,-0.001216410,0.001841896,-0.000141952,-0.001079174
1617333602.676765,20191.000000000,1617333602.676261187,0.116620255,-1.516334761,0.999911189,-0.013230869,0.001033807,-0.140238509,-0.001210237,0.001825309,-0.000187301,-0.001085905
1617333602.681739,20192.000000000,1617333602.681248903,0.118531080,-1.517116158,0.999911129,-0.013237668,0.001050474,-0.140102941,-0.001208827,0.001825435,-0.000187997,-0.001072327
1617333602.686731,20193.000000000,1617333602.686233759,0.122026383,-1.516333496,0.999911189,-0.013230803,0.001080936,-0.139852559,-0.001206245,0.001824874,-0.000189141,-0.001056228
1617333602.692237,20194.000000000,1617333602.691354752,0.125488691,-1.517363715,0.999911010,-0.013239755,0.001111159,-0.139853569,-0.001205844,0.001821511,-0.000185404,-0.001029596
1617333602.697089,20195.000000000,1617333602.696516752,0.127045299,-1.516665406,0.999911129,-0.013233653,0.001124646,-0.139089159,-0.001199001,0.001818528,-0.000182974,-0.001005869
1617333602.701850,20196.000000000,1617333602.701362610,0.128421133,-1.516558930,0.999911129,-0.013232711,0.001136634,-0.138952490,-0.001197651,0.001815327,-0.000179535,-0.000980042
1617333602.706829,20197.000000000,1617333602.706374884,0.133210491,-1.517411185,0.999910951,-0.013240081,0.001178599,-0.140375220,-0.001209503,0.001756746,-0.000179994,-0.001078413
1617333602.712401,20198.000000000,1617333602.711374044,0.132926281,-1.517290774,0.999910951,-0.013239028,0.001176180,-0.140917193,-0.001214267,0.001742714,-0.000173847,-0.001063510
1617333602.716923,20199.000000000,1617333602.716293097,0.133428362,-1.517556802,0.999910891,-0.013241358,0.001180398,-0.139479421,-0.001201660,0.001725050,-0.000166720,-0.001048260
1617333602.722052,20200.000000000,1617333602.721379280,0.134915900,-1.516941133,0.999911010,-0.013235969,0.001193385,-0.139598227,-0.001202531,0.001705203,-0.000158675,-0.001033167
1617333602.727078,20201.000000000,1617333602.726485729,0.135243859,-1.518051354,0.999910891,-0.013245662,0.001196169,-0.138821584,-0.001195705,0.001693080,-0.000149460,-0.001008068
1617333602.732093,20202.000000000,1617333602.731385231,0.134031124,-1.518400361,0.999910891,-0.013248721,0.001185583,-0.138757670,-0.001195284,0.001677034,-0.000139400,-0.000983430
1617333602.737082,20203.000000000,1617333602.736416817,0.133357066,-1.518070786,0.999910891,-0.013245848,0.001179742,-0.139144166,-0.001198738,0.001663018,-0.000128308,-0.000954547
